sample_id,domain,20260223_191501_gemini_3_pro_full_test_1_citation_presence,20260223_191501_gemini_3_pro_full_test_1_latency_s,20260223_191501_gemini_3_pro_full_test_1_rouge_score_recall,20260223_191501_gemini_3_pro_full_test_1_reasoning_depth,20260223_191501_gemini_3_pro_full_test_1_bert_score_f1,20260223_191501_gemini_3_pro_full_test_1_refusal_rate,20260223_191501_gemini_3_pro_full_test_1_rouge_score_f1,20260223_191501_gemini_3_pro_full_test_1_error_rate,20260223_191501_gemini_3_pro_full_test_1_answer_length,20260223_191501_gemini_3_pro_full_test_1_verbosity,20260223_191501_gemini_3_pro_full_test_1_soft_f1,20260223_191501_gemini_3_pro_full_test_1_confidence_score,20260223_191501_gemini_3_pro_full_test_1_answer_completeness,20260223_191501_gemini_3_pro_full_test_1_response_consistency,20260223_191501_gemini_3_pro_full_test_1_soft_recall,20260223_191501_gemini_3_pro_full_test_1_exact_match,20260224_160118_gemini_3_flash_full_test_2_citation_presence,20260224_160118_gemini_3_flash_full_test_2_latency_s,20260224_160118_gemini_3_flash_full_test_2_rouge_score_recall,20260224_160118_gemini_3_flash_full_test_2_reasoning_depth,20260224_160118_gemini_3_flash_full_test_2_bert_score_f1,20260224_160118_gemini_3_flash_full_test_2_refusal_rate,20260224_160118_gemini_3_flash_full_test_2_rouge_score_f1,20260224_160118_gemini_3_flash_full_test_2_error_rate,20260224_160118_gemini_3_flash_full_test_2_answer_length,20260224_160118_gemini_3_flash_full_test_2_verbosity,20260224_160118_gemini_3_flash_full_test_2_soft_f1,20260224_160118_gemini_3_flash_full_test_2_confidence_score,20260224_160118_gemini_3_flash_full_test_2_answer_completeness,20260224_160118_gemini_3_flash_full_test_2_response_consistency,20260224_160118_gemini_3_flash_full_test_2_soft_recall,20260224_160118_gemini_3_flash_full_test_2_exact_match,20260223_232920_gemini_25_flash_full_test_2_citation_presence,20260223_232920_gemini_25_flash_full_test_2_latency_s,20260223_232920_gemini_25_flash_full_test_2_rouge_score_recall,20260223_232920_gemini_25_flash_full_test_2_reasoning_depth,20260223_232920_gemini_25_flash_full_test_2_bert_score_f1,20260223_232920_gemini_25_flash_full_test_2_refusal_rate,20260223_232920_gemini_25_flash_full_test_2_rouge_score_f1,20260223_232920_gemini_25_flash_full_test_2_error_rate,20260223_232920_gemini_25_flash_full_test_2_answer_length,20260223_232920_gemini_25_flash_full_test_2_verbosity,20260223_232920_gemini_25_flash_full_test_2_soft_f1,20260223_232920_gemini_25_flash_full_test_2_confidence_score,20260223_232920_gemini_25_flash_full_test_2_answer_completeness,20260223_232920_gemini_25_flash_full_test_2_response_consistency,20260223_232920_gemini_25_flash_full_test_2_soft_recall,20260223_232920_gemini_25_flash_full_test_2_exact_match,20260224_090323_gemini_25_pro_full_test_1_citation_presence,20260224_090323_gemini_25_pro_full_test_1_latency_s,20260224_090323_gemini_25_pro_full_test_1_rouge_score_recall,20260224_090323_gemini_25_pro_full_test_1_reasoning_depth,20260224_090323_gemini_25_pro_full_test_1_bert_score_f1,20260224_090323_gemini_25_pro_full_test_1_refusal_rate,20260224_090323_gemini_25_pro_full_test_1_rouge_score_f1,20260224_090323_gemini_25_pro_full_test_1_error_rate,20260224_090323_gemini_25_pro_full_test_1_answer_length,20260224_090323_gemini_25_pro_full_test_1_verbosity,20260224_090323_gemini_25_pro_full_test_1_soft_f1,20260224_090323_gemini_25_pro_full_test_1_confidence_score,20260224_090323_gemini_25_pro_full_test_1_answer_completeness,20260224_090323_gemini_25_pro_full_test_1_response_consistency,20260224_090323_gemini_25_pro_full_test_1_soft_recall,20260224_090323_gemini_25_pro_full_test_1_exact_match
40,Company_Documents,0.0,38.41718769073486,0.0,0.1,0.6083086133003235,0.0,0.0,0.0,48.0,62.2,0.0,0.5,1.0,0.0,0.0,0.0,0.0,76.27438735961914,0.0,0.1,0.5929871797561646,0.0,0.0,0.0,119.0,149.0,0.0,0.5,1.0,0.1428571428571428,0.0,0.0,0.0,58.32159447669983,0.0,0.1,0.6121108531951904,0.0,0.0,0.0,65.0,77.6,0.0,0.5,1.0,0.0714285714285714,0.0,0.0,0.0,25.14653325080872,0.0,0.2,0.6028637886047363,0.0,0.0,0.0,53.0,60.6,0.0,0.5,1.0,0.0,0.0,0.0
42,Company_Documents,0.0,49.47066378593445,1.0,0.1,0.680052638053894,0.0,0.0560747663551401,0.0,108.0,43.4,0.06,0.5,0.5,0.15,1.0,0.0,0.0,41.53618335723877,1.0,0.1,0.6453344821929932,0.0,0.048780487804878,0.0,123.0,52.6,0.0530973451327433,0.5,1.0,0.2777777777777778,1.0,0.0,0.0,26.5166699886322,1.0,0.0,0.6285882592201233,0.0,0.037037037037037,0.0,182.0,76.26666666666667,0.0392156862745098,0.5,1.0,0.4117647058823529,1.0,0.0,0.0,35.576125144958496,0.3333333333333333,0.1,0.708522617816925,0.0,0.0444444444444444,0.0,44.0,19.266666666666666,0.1463414634146341,0.5,1.0,0.0,1.0,0.0
43,Company_Documents,0.0,42.94755125045776,1.0,0.1,0.7173160314559937,0.0,0.3669724770642201,0.0,98.0,4.45,0.2745098039215686,0.5,1.0,0.1052631578947368,0.8235294117647058,0.0,0.0,31.850110054016117,1.0,1.0,0.7145559191703796,0.0,0.3149606299212598,0.0,107.0,4.707142857142857,0.2314049586776859,0.5,1.0,0.1666666666666666,0.8235294117647058,0.0,0.0,26.376254558563232,0.4,0.0,0.8084515333175659,0.0,0.3555555555555555,0.0,31.0,1.3071428571428572,0.25,0.5,1.0,0.0,0.2941176470588235,0.0,0.0,28.724900484085083,1.0,0.1,0.8318937420845032,0.0,0.5882352941176471,0.0,58.0,2.4285714285714284,0.4516129032258064,0.5,1.0,0.0,0.8235294117647058,0.0
78,Government_Consultations,0.0,47.0626699924469,0.7692307692307693,0.0,0.911694884300232,0.0,0.8695652173913044,0.0,10.0,0.7608695652173914,0.8695652173913044,0.5,1.0,0.0,0.7692307692307693,0.0,0.0,43.84839105606079,0.7692307692307693,0.1,0.8558908104896545,0.0,0.4444444444444445,0.0,32.0,2.5434782608695654,0.6046511627906976,0.5,1.0,0.0,1.0,0.0,0.0,44.467071533203125,0.7692307692307693,0.0,0.9116950035095216,0.0,0.8695652173913044,0.0,10.0,0.7608695652173914,0.8695652173913044,0.5,1.0,0.0,0.7692307692307693,0.0,0.0,40.88675808906555,0.7692307692307693,0.0,0.911695122718811,0.0,0.8695652173913044,0.0,10.0,0.7608695652173914,0.8695652173913044,0.5,1.0,0.0,0.7692307692307693,0.0
52,Company_Documents,0.0,55.21073174476624,1.0,0.1,0.5519513487815857,0.0,0.0166666666666666,0.0,125.0,802.0,0.018018018018018,0.5,1.0,0.032258064516129,1.0,0.0,0.0,37.97499394416809,1.0,0.7,0.5603994727134705,0.0,0.0185185185185185,0.0,107.0,709.0,0.0198019801980198,0.5,1.0,0.1,1.0,0.0,0.0,33.68499779701233,0.0,0.4,0.5525410771369934,0.0,0.0,0.0,26.0,162.0,0.0,0.5,1.0,0.0833333333333333,0.0,0.0,0.0,31.363938570022583,1.0,0.1,0.5892993807792664,0.0,0.0392156862745098,0.0,56.0,328.0,0.0408163265306122,0.5,1.0,0.0,1.0,0.0
73,Government_Consultations,0.0,47.587666273117065,1.0,0.1,0.5870484709739685,0.0,0.0089285714285714,0.0,226.0,230.8571428571429,0.0100502512562814,0.5,1.0,0.2,1.0,0.0,0.0,49.46704721450806,1.0,0.2,0.5906131267547607,0.0,0.0080971659919028,0.0,247.0,242.8571428571429,0.0090497737556561,1.0,1.0,0.1333333333333333,1.0,0.0,,121.07157444953918,,,,,,1.0,,,,,,,,,0.0,51.19510316848755,1.0,0.2,0.5867547988891602,0.0,0.0068493150684931,0.0,286.0,271.1428571428572,0.0,1.0,1.0,0.2,0.0,0.0
18,Company_Documents,0.0,53.800429344177246,1.0,0.5,0.5981967449188232,0.0,0.0575539568345323,0.0,134.0,35.08,0.0620155038759689,1.0,1.0,0.3636363636363636,1.0,0.0,0.0,31.95104956626892,1.0,0.4,0.6100670099258423,0.0,0.0575539568345323,0.0,136.0,34.2,0.0629921259842519,1.0,1.0,0.4210526315789473,1.0,0.0,0.0,18.187941074371334,1.0,0.0,0.6325190663337708,0.0,0.1126760563380281,0.0,67.0,17.16,0.1212121212121212,0.5,1.0,0.1,1.0,0.0,0.0,26.15772271156311,1.0,0.0,0.8055343627929688,0.0,0.7272727272727273,0.0,10.0,2.04,0.7272727272727273,0.5,1.0,0.0,1.0,0.0
28,Company_Documents,,29.181788206100464,,,,,,1.0,,,,,,,,,0.0,24.972897052764893,0.0,0.1,0.5748317837715149,0.0,0.0,0.0,210.0,247.0,0.0,0.5,1.0,0.1836734693877551,0.0,0.0,0.0,133.65496969223022,0.0,0.0,0.5386471152305603,0.0,0.0,0.0,248.0,271.8,0.0,0.5,1.0,0.3333333333333333,0.0,0.0,0.0,34.10546350479126,0.0,0.0,0.5614081621170044,0.0,0.0,0.0,128.0,156.8,0.0,0.5,1.0,0.0857142857142857,0.0,0.0
96,Marketing,0.0,33.50977683067322,1.0,0.2,0.7327189445495605,0.0,0.1470588235294117,0.0,61.0,13.090909090909092,0.135593220338983,0.5,1.0,0.0833333333333333,1.0,0.0,0.0,39.85607981681824,1.0,0.1,0.7447654008865356,0.0,0.1428571428571428,0.0,64.0,13.242424242424242,0.1290322580645161,0.5,1.0,0.0625,1.0,0.0,0.0,25.316169023513797,1.0,0.0,0.7870224714279175,0.0,0.2941176470588235,0.0,28.0,5.787878787878788,0.2857142857142857,0.5,1.0,0.0,1.0,0.0,0.0,33.634809494018555,1.0,0.1,0.7755745053291321,0.0,0.2564102564102564,0.0,33.0,6.727272727272728,0.2580645161290322,0.5,1.0,0.0,1.0,0.0
7,Company_Documents,0.0,50.619683027267456,1.0,0.4,0.6207509636878967,0.0,0.0222222222222222,0.0,88.0,94.5,0.0253164556962025,0.5,1.0,0.15,1.0,0.0,0.0,21.60233163833618,1.0,0.5,0.6006917357444763,0.0,0.0153846153846153,0.0,125.0,136.83333333333334,0.0169491525423728,0.5,1.0,0.1851851851851851,1.0,0.0,0.0,27.53929591178894,0.0,0.0,0.5985777378082275,0.0,0.0,0.0,13.0,13.166666666666666,0.0,0.5,1.0,0.0,0.0,0.0,0.0,17.105253219604492,0.0,0.1,0.629616916179657,0.0,0.0,0.0,13.0,13.166666666666666,0.0,0.5,1.0,0.0,0.0,0.0
